Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"Ibom E-library, Uyo","Ibom E-Library, IBB Ave, 520102, Uyo, Akwa Ibom, Nigeria",5.0151984,7.912815299999999,,4.4,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']"
Akwa-Ibom State Library,"IBB Ave, 520102, Uyo, Akwa Ibom, Nigeria",5.0262022,7.9321769,085 291 359,3.1,"['Monday: 10:01\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:01\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:01\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:01\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:01\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
"Uyo Divisional Library, Akwa Ibom State Library Service","53 Udo Otung Ubo Street, 520103, Uyo, Akwa Ibom, Nigeria",5.0371606,7.927912500000001,,,
Zach's shelf,"Chief udo eno street, 520211, Uyo, Akwa Ibom, Nigeria",5.037693600000001,7.9127845,0702 563 8741,,
"General Library, University of Uyo Main Campus","Offot 11, 520101, Akwa Ibom, Nigeria",5.040373000000001,7.976951,,3.3,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
Uniuyo Annex Library,"2WRC+XJX, 520103, Uyo, Akwa Ibom, Nigeria",5.042494,7.9216235,,4,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Nyong Essien Library,"2WQG+55V, 520103, Uyo, Akwa Ibom, Nigeria",5.0379873,7.9254357,,1.7,
University of Uyo Library,"2WQF+2F8, 520103, Uyo, Akwa Ibom, Nigeria",5.037529399999999,7.923710600000001,,4.2,
uniuyo annex library,"University of Uyo Town Campus, 520103, Uyo, Akwa Ibom, Nigeria",5.0405646,7.9198313,,4.5,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
PEPZ CONSULTING,"Ibom E-library, Uyo, IBB Ave, 520102, Uyo, Akwa Ibom, Nigeria",5.0148569,7.910325299999999,0901 131 7722,,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
Hamburg E Library,"73 General Edet Akpan Ave, 520101, Abak, Akwa Ibom, Nigeria",5.016153999999999,7.954903,0706 168 7273,,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
Ibom E-Library E-Testing Center,"2W87+344, 520102, Uyo, Akwa Ibom, Nigeria",5.0151438,7.912834200000001,,4.3,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
E library Canteen,"24 IBB Ave, 520102, Uyo, Akwa Ibom, Nigeria",5.0154714,7.912111800000001,,4,
Havilah event center opp Ibom e-library ibb avenue uyo,"2W97+995, 520102, Uyo, Akwa Ibom, Nigeria",5.018390699999999,7.913473100000001,,3,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
Librarian's Office,"2WQF+6X3, 520103, Uyo, Akwa Ibom, Nigeria",5.0380006,7.9249209,,,
